% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
119 -4.510184e-05 -1.633169e-05 -4.525674e-05 5.027375e-06 3.890690e-05 5.235770e-09  0.06872  1.09134 100.00000
120 -2.483598e-05 -6.154942e-06 -2.090256e-05 1.777585e-06 1.455272e-05 5.275906e-10  0.12349  2.66322 100.00000
121 -4.133104e-05 -1.819488e-05 -5.452726e-05 6.524820e-06 4.817742e-05 2.857639e-09  0.07569  1.00379 100.00000
122 -6.541218e-05 -4.257898e-05 -9.252649e-05 9.145724e-06 8.617665e-05 1.705195e-08  0.05095  0.42650 100.00000
123 -5.459013e-05 -2.798405e-05 -8.487766e-05 8.525195e-06 7.852782e-05 1.684941e-08  0.05824  0.63549 100.00000
124 -7.593222e-06 -1.482737e-06 -7.573482e-06 3.606679e-07 1.223642e-06 3.224718e-10  0.40175 11.56358 100.00000
125 -5.058835e-05 -2.618774e-05 -6.918567e-05 6.193259e-06 6.283583e-05 7.634885e-09  0.06340  0.66433 100.00000
126 -4.405909e-06 -8.087440e-07 -6.575630e-06 5.841888e-08 2.257900e-07 3.721329e-10  0.69306 18.67669 100.00000
127 -7.205395e-05 -3.867647e-05 -1.128185e-04 1.242456e-05 1.064686e-04 1.181873e-08  0.04434  0.46002 100.00000
128 -6.786698e-05 -3.999559e-05 -8.411714e-05 1.112653e-05 7.776730e-05 8.667827e-09  0.04740  0.47160 100.00000
129 -3.413986e-05 -1.101528e-05 -4.668210e-05 5.436320e-06 4.033226e-05 7.486993e-09  0.09044  1.54242 100.00000
130 -1.203369e-05 -2.270006e-06 -1.594010e-05 1.107953e-06 9.590263e-06 6.984333e-10  0.25375  6.79784 100.00000
131 -1.453313e-05 -2.073951e-06 -1.098733e-05 5.913872e-07 4.637486e-06 2.735796e-10  0.20960  6.92540 100.00000
132 -3.707479e-06 -8.540144e-07 -7.096939e-06 7.427915e-08 7.470994e-07 2.432405e-10  0.82609 18.65986 100.00000
133 -5.249939e-05 -3.241065e-05 -6.646200e-05 7.855537e-06 6.011216e-05 7.357888e-09  0.06219  0.58771 100.00000
134 -2.840558e-05 -9.676407e-06 -2.850598e-05 2.590475e-06 2.215614e-05 1.410845e-09  0.10896  1.78615 100.00000
135 -2.747708e-06 -7.748362e-07 -6.495176e-06 8.729574e-08 1.453360e-07 1.721893e-10  1.11726 22.71102 100.00000
136 -1.591065e-04 -1.209809e-04 -3.966633e-04 5.297895e-05 3.903134e-04 3.694437e-08  0.02135  0.14702 100.00000
137 -4.100574e-05 -1.535353e-05 -3.724430e-05 3.556766e-06 3.089446e-05 3.133067e-09  0.07595  1.16366 100.00000
138 -6.269975e-05 -4.341505e-05 -9.729658e-05 1.086090e-05 9.094674e-05 1.348132e-08  0.05318  0.42350 100.00000
139 -4.529720e-05 -2.024427e-05 -4.557855e-05 5.163774e-06 3.922871e-05 3.954136e-09  0.06930  0.92026 100.00000
140 -2.967712e-05 -7.808668e-06 -2.445075e-05 2.854636e-06 1.810091e-05 1.905661e-09  0.10338  2.19558 100.00000
141 -1.489893e-04 -1.199982e-04 -3.947714e-04 4.696870e-05 3.884216e-04 5.709350e-08  0.02371  0.14177 100.00000
142 -1.465537e-04 -1.340342e-04 -3.351060e-04 4.210986e-05 3.287561e-04 3.963011e-08  0.02590  0.12925 100.00000
143 -1.609368e-06 -5.936263e-07 -6.684579e-06 8.123384e-09 3.347393e-07 4.086898e-10  1.92643 29.29490 100.00000
144 -2.009245e-06 -6.168729e-07 -6.360451e-06 2.058593e-08 1.061112e-08 2.562081e-10  1.53102 28.92959 100.00000
145 -7.981764e-06 -1.252010e-06 -7.386432e-06 3.144915e-07 1.036592e-06 5.781465e-10  0.38177 12.14020 100.00000
146 -1.569772e-05 -1.699570e-06 -1.517017e-05 6.361288e-07 8.820326e-06 5.527548e-10  0.19391  6.94264 100.00000
147 -4.079747e-05 -1.759089e-05 -5.457266e-05 7.015002e-06 4.822282e-05 7.938610e-09  0.07667  1.01747 100.00000
148 -1.107339e-06 -4.581631e-07 -6.415935e-06 2.816252e-09 6.609455e-08 7.117827e-10  2.81462 38.63787 100.00000
149 -4.243858e-05 -1.754887e-05 -3.925696e-05 4.894711e-06 3.290712e-05 3.642724e-09  0.07341  1.06746 100.00000
150 -2.492357e-05 -9.827927e-06 -2.723048e-05 2.034466e-06 2.088064e-05 2.088425e-09  0.12513  1.79365 100.00000
151 -2.394925e-05 -1.031910e-05 -3.015655e-05 2.303588e-06 2.380671e-05 1.482711e-09  0.13099  1.79782 100.00000
152 -1.680152e-04 -1.286483e-04 -3.824214e-04 4.900712e-05 3.760716e-04 1.109708e-07  0.02036  0.13712 100.00000
153 -1.012483e-04 -5.752887e-05 -1.970595e-04 2.340452e-05 1.907097e-04 1.937658e-08  0.03190  0.29823 100.00000
154 -5.242351e-07 -3.170413e-07 -6.366029e-06 -3.947207e-10 1.618911e-08 -7.602146e-11  6.12624 58.21418 100.00000
155 -5.028908e-05 -2.477706e-05 -5.720853e-05 7.247518e-06 5.085869e-05 5.662697e-09  0.06280  0.75132 100.00000
156 -4.513661e-05 -2.430753e-05 -6.731769e-05 8.301883e-06 6.096785e-05 7.663733e-09  0.07046  0.76250 100.00000
157 -2.193330e-05 -9.962141e-06 -2.735942e-05 2.266339e-06 2.100958e-05 1.500084e-09  0.14342  1.85734 100.00000
158 -1.732587e-04 -1.379498e-04 -4.291323e-04 5.598029e-05 4.227824e-04 2.901328e-08  0.02001  0.12734 100.00000
159 -1.152239e-04 -8.335867e-05 -2.529028e-04 3.140592e-05 2.465530e-04 2.010496e-08  0.02922  0.21177 100.00000
160 -4.263727e-05 -1.611601e-05 -4.183797e-05 4.239901e-06 3.548813e-05 4.049686e-09  0.07297  1.08833 100.00000
161 -1.932565e-07 -1.892771e-07 -6.353533e-06 1.436447e-09 3.692888e-09     NaN 19.44874 92.77974 100.00000
162 -5.828422e-06 -1.367232e-06 -1.002318e-05 3.982561e-07 3.673338e-06 4.776336e-10  0.52545 11.81401 100.00000
163 -2.702422e-05 -1.275290e-05 -3.436071e-05 3.341851e-06 2.801087e-05 2.395928e-09  0.11688  1.43424 100.00000
164 -4.501927e-07 -3.118271e-07 -6.391544e-06 5.015391e-10 4.170420e-08 1.047780e-10  7.30145 58.72755 100.00000
165 -1.474744e-06 -5.980266e-07 -6.555789e-06 3.089382e-08 2.059490e-07 4.806363e-10  2.11011 29.89321 100.00000
166 -1.393984e-05 -2.541389e-06 -1.222509e-05 5.423878e-07 5.875250e-06 5.270576e-10  0.21902  5.99126 100.00000
167 -1.937188e-05 -5.414569e-06 -1.472587e-05 1.587940e-06 8.376034e-06 1.729972e-09  0.15848  3.28057 100.00000
168 -6.952206e-06 -1.348478e-06 -8.472789e-06 3.549907e-07 2.122949e-06 2.675401e-10  0.43898 12.20275 100.00000
169 -4.616151e-05 -2.061159e-05 -4.714457e-05 5.902266e-06 4.079473e-05 5.629296e-09  0.06784  0.90661 100.00000
170 -1.642888e-04 -1.285518e-04 -3.751986e-04 4.879707e-05 3.688487e-04 3.046003e-08  0.02104  0.13625 100.00000
171 -6.888651e-05 -4.867673e-05 -1.164919e-04 1.298814e-05 1.101420e-04 2.381541e-08  0.04889  0.36715 100.00000
172 -3.751028e-06 -9.579801e-07 -8.195054e-06 1.293118e-07 1.845214e-06 1.898113e-11  0.81883 16.30397 100.00000
173 -1.377681e-05 -2.085656e-06 -1.264858e-05 1.063090e-06 6.298739e-06 1.176296e-09  0.22109  7.30537 100.00000
174 -3.180545e-05 -1.267480e-05 -4.237973e-05 5.028104e-06 3.602989e-05 2.864918e-09  0.09800  1.37758 100.00000
175 -2.094391e-05 -7.596340e-06 -1.914300e-05 1.737642e-06 1.279316e-05 2.766607e-09  0.14820  2.31681 100.00000
176 -1.978938e-04 -1.628598e-04 -5.146443e-04 6.967097e-05 5.082945e-04 5.448220e-08  0.01769  0.10820 100.00000
177 -1.691059e-05 -1.996047e-06 -1.492083e-05 1.018159e-06 8.570989e-06 2.166510e-10  0.18004  6.29743 100.00000
178 -5.356068e-06 -8.541563e-07 -7.362592e-06 6.256122e-08 1.012752e-06 3.880155e-11  0.56984 15.88807 100.00000
179 -2.542927e-05 -4.964662e-06 -2.317075e-05 2.972497e-06 1.682091e-05 3.817232e-10  0.11997  3.44041 100.00000
180 -1.123985e-05 -2.168454e-06 -8.772427e-06 3.295165e-07 2.422587e-06 1.869209e-10  0.27193  6.99722 100.00000
181 -2.976601e-06 -7.801878e-07 -6.902638e-06 4.967920e-08 5.527982e-07 8.117691e-11  1.03215 20.53090 100.00000
182 -7.800385e-06 -1.192960e-06 -7.394473e-06 9.927219e-08 1.044633e-06 4.101531e-10  0.39054 12.78384 100.00000
183 -1.788964e-06 -6.103332e-07 -6.686910e-06 3.752457e-09 3.370700e-07 3.471486e-10  1.72852 28.06892 100.00000
184 -4.037157e-05 -2.088774e-05 -7.263162e-05 8.721915e-06 6.628178e-05 9.549066e-09  0.07854  0.86639 100.00000
185 -8.214283e-05 -6.897706e-05 -1.492977e-04 1.798557e-05 1.429479e-04 2.857747e-08  0.04393  0.26024 100.00000
186 -9.340628e-05 -6.214036e-05 -1.536726e-04 2.086025e-05 1.473228e-04 3.049404e-08  0.03513  0.29592 100.00000
187 -9.823663e-07 -4.708539e-07 -6.453873e-06 1.502903e-08 1.040335e-07 8.516307e-11  3.20088 38.21158 100.00000
188 -4.891380e-06 -1.374884e-06 -9.292330e-06 3.520508e-07 2.942490e-06 1.578088e-10  0.62835 12.19662 100.00000
189 -1.045230e-04 -7.936645e-05 -1.655341e-04 1.813692e-05 1.591842e-04 2.464814e-08  0.03338  0.22410 100.00000
190 -3.443106e-05 -1.521078e-05 -3.419082e-05 4.073477e-06 2.784098e-05 2.675056e-09  0.09089  1.24231 100.00000
191 -1.229088e-04 -9.177753e-05 -2.505252e-04 3.139875e-05 2.441754e-04 6.009422e-08  0.02758  0.19449 100.00000
192 -7.900741e-06 -1.323445e-06 -8.649148e-06 3.370158e-07 2.299308e-06 3.323059e-10  0.38592 11.58743 100.00000
193 -1.012464e-04 -6.129626e-05 -1.690828e-04 2.283144e-05 1.627329e-04 1.331322e-08  0.03197  0.29433 100.00000
194 -6.454163e-07 -3.935430e-07 -6.388562e-06 1.500451e-08 3.872220e-08 -3.574416e-11  4.96896 47.41109 100.00000
195 -9.394736e-05 -7.784710e-05 -1.764289e-04 2.061598e-05 1.700791e-04 1.423859e-08  0.03817  0.22721 100.00000
196 -1.792689e-05 -3.935622e-06 -2.515226e-05 2.435361e-06 1.880242e-05 1.265686e-09  0.17065  4.07887 100.00000
197 -4.034330e-05 -1.218161e-05 -4.678099e-05 6.115616e-06 4.043115e-05 1.546262e-09  0.07635  1.40178 100.00000
198 -1.811668e-04 -1.491215e-04 -5.132120e-04 6.397111e-05 5.068622e-04 4.828389e-08  0.01952  0.11537 100.00000
199 -1.656446e-04 -1.345198e-04 -3.337182e-04 4.408450e-05 3.273684e-04 2.755605e-08  0.02109  0.13239 100.00000
200 -1.026585e-04 -7.663731e-05 -2.028287e-04 2.624395e-05 1.964788e-04 1.886815e-08  0.03296  0.23488 100.00000
