%Depth	   PO4	   NH4	    pH 	   TA	    Fe	    F	Mn	   NO3	   SO4	H2S
2.75	NaN	244.50	8.04	4880.00	10.30	63.70	NaN	0.50	24700.00	5.50
3.50	NaN	281.80	8.06	5140.00	2.40	55.00	NaN	NaN	25000.00	35.40
4.50	NaN	323.80	NaN	5780.00	0.30	57.60	NaN	NaN	24000.00	92.00
5.50	NaN	350.20	8.10	5870.00	0.40	53.40	NaN	NaN	23200.00	160.30
6.50	NaN	386.00	8.12	6210.00	0.10	52.80	NaN	NaN	24400.00	189.90
8.50	NaN	429.90	8.11	6820.00	0.00	48.30	NaN	NaN	23900.00	253.60
11.50	NaN	509.00	8.10	7340.00	0.40	51.20	NaN	NaN	23000.00	419.30
15.50	NaN	610.20	8.10	8690.00	0.10	49.90	NaN	NaN	22900.00	538.60
20.50	NaN	747.00	8.10	9390.00	0.10	45.50	NaN	NaN	21400.00	812.70
25.50	NaN	883.90	8.11	10660.00	0.00	42.90	NaN	NaN	20600.00	1412.90
30.50	NaN	995.80	8.09	11580.00	0.30	45.80	NaN	NaN	19500.00	1752.20
40.50	NaN	1229.00	8.12	13550.00	0.40	45.20	NaN	NaN	17800.00	2423.00
50.50	NaN	1440.40	8.11	16090.00	0.50	42.00	NaN	NaN	16100.00	2162.00
0.13	NaN	52.00	7.87	2970.00	12.30	70.30	NaN	35.90	26100.00	1.10
0.38	NaN	54.90	7.92	2680.00	11.20	70.80	NaN	10.50	26400.00	1.70
0.63	NaN	82.80	7.94	3530.00	14.40	66.90	NaN	6.90	26600.00	3.30
0.88	NaN	90.10	7.96	3790.00	17.50	68.10	NaN	5.30	26200.00	6.50
1.25	NaN	128.30	7.96	4250.00	11.70	59.50	NaN	3.00	25800.00	11.00
1.75	NaN	187.00	8.00	4830.00	4.20	57.00	NaN	2.70	25700.00	30.00
2.25	NaN	182.60	8.02	4750.00	3.60	63.00	NaN	1.10	25900.00	27.10
2.75	NaN	207.50	8.03	5140.00	1.40	59.20	NaN	NaN	25900.00	74.40
3.50	NaN	238.40	8.04	5390.00	0.40	53.40	NaN	NaN	25400.00	126.90
4.50	NaN	275.10	7.96	5680.00	0.00	56.60	NaN	NaN	25100.00	147.60
5.50	NaN	310.30	8.04	6070.00	0.00	51.50	NaN	NaN	25000.00	261.40
6.50	NaN	336.70	8.06	6220.00	0.00	56.30	NaN	NaN	24700.00	280.50
8.50	NaN	379.90	8.08	6820.00	0.00	52.50	NaN	NaN	24200.00	391.90
11.50	NaN	456.20	8.08	7400.00	0.20	49.00	NaN	NaN	23700.00	654.20
15.50	NaN	538.40	8.09	8200.00	0.30	52.20	NaN	NaN	23100.00	913.40
20.50	NaN	632.30	8.15	9660.00	0.00	48.00	NaN	NaN	22000.00	1042.00
25.50	NaN	787.90	8.11	10740.00	0.00	49.60	NaN	NaN	20800.00	1427.80
30.50	NaN	861.30	8.11	11720.00	0.00	44.50	NaN	NaN	19900.00	1979.70
40.50	NaN	1087.40	8.13	13750.00	0.20	45.20	NaN	NaN	18200.00	2564.80
50.50	NaN	1284.10	8.14	15200.00	0.10	44.50	NaN	NaN	16000.00	2490.20
0.13	NaN	NaN	NaN	NaN	NaN	70.07	NaN	NaN	NaN	NaN
0.38	54.00	162.00	NaN	3180.00	NaN	68.67	NaN	NaN	NaN	NaN
0.63	62.00	NaN	NaN	NaN	NaN	64.53	NaN	NaN	NaN	NaN
0.88	72.00	220.00	NaN	3560.00	NaN	81.06	NaN	NaN	NaN	NaN
1.25	79.00	260.00	NaN	3920.00	NaN	62.11	NaN	NaN	NaN	NaN
1.75	59.00	249.00	NaN	4670.00	NaN	63.31	NaN	NaN	NaN	NaN
2.25	68.00	271.00	NaN	4970.00	NaN	63.48	NaN	NaN	NaN	NaN
2.75	60.00	264.00	NaN	5160.00	NaN	64.35	NaN	NaN	NaN	NaN
3.50	60.00	316.00	NaN	5980.00	NaN	58.07	NaN	NaN	NaN	NaN
4.50	69.00	361.00	NaN	5870.00	NaN	55.79	NaN	NaN	NaN	NaN
5.50	75.00	376.00	NaN	6360.00	NaN	50.99	NaN	NaN	NaN	NaN
6.50	69.00	409.00	NaN	6670.00	NaN	50.98	NaN	NaN	NaN	NaN
7.50	71.00	441.00	NaN	7220.00	NaN	47.57	NaN	NaN	NaN	NaN
8.50	78.00	474.00	NaN	7290.00	NaN	51.08	NaN	NaN	NaN	NaN
11.50	75.00	556.00	NaN	8070.00	NaN	49.47	NaN	NaN	NaN	NaN
15.50	79.00	676.00	NaN	9230.00	NaN	47.14	NaN	NaN	NaN	NaN
20.50	81.00	779.00	NaN	9310.00	NaN	49.90	NaN	NaN	NaN	NaN
25.50	87.00	874.00	NaN	11240.00	NaN	45.61	NaN	NaN	NaN	NaN
30.50	88.00	961.00	NaN	12270.00	NaN	44.00	NaN	NaN	NaN	NaN
35.50	99.00	1062.00	NaN	13480.00	NaN	41.56	NaN	NaN	NaN	NaN
40.50	97.00	1161.00	NaN	14750.00	NaN	39.47	NaN	NaN	NaN	NaN
45.50	104.00	1284.00	NaN	15630.00	NaN	39.44	NaN	NaN	NaN	NaN
50.50	108.00	1367.00	NaN	16990.00	NaN	36.71	NaN	NaN	NaN	NaN
55.50	117.00	1488.00	NaN	18460.00	NaN	36.09	NaN	NaN	NaN	NaN
60.50	126.00	1527.00	NaN	20060.00	NaN	34.66	NaN	NaN	NaN	NaN
65.50	NaN	1593.00	NaN	21390.00	NaN	31.06	NaN	NaN	NaN	NaN
70.50	148.00	1737.00	NaN	22980.00	NaN	29.47	NaN	NaN	NaN	NaN
0.13	NaN	112.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.63	NaN	160.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.88	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.25	NaN	212.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.75	NaN	196.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.25	NaN	209.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.75	NaN	221.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.50	NaN	237.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.50	NaN	296.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.50	NaN	351.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.50	NaN	361.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.50	NaN	384.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.50	NaN	395.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11.50	NaN	487.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.50	NaN	606.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.50	NaN	733.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.50	NaN	815.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30.50	NaN	900.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35.50	NaN	988.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40.50	NaN	1183.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
45.50	NaN	1255.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50.50	NaN	1339.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
55.50	NaN	1400.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
60.50	NaN	1343.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
65.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
70.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.00	NaN	5.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.13	30.50	107.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.38	43.60	119.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.63	38.60	104.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.88	41.20	141.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.13	38.00	141.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.38	38.20	156.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.63	48.30	162.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.88	51.80	178.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.25	58.20	192.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.85
2.75	60.00	216.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.20
3.25	63.10	231.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.54
3.75	65.10	253.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.30
4.50	70.50	275.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.70
5.50	74.30	316.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.20
6.50	88.20	365.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	122.00
7.50	78.80	390.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	126.00
8.50	80.10	423.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	129.00
9.50	81.70	440.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	224.00
12.50	83.50	526.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	283.00
16.50	85.80	612.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	437.00
0.00	NaN	5.40	NaN	NaN	NaN	NaN	NaN	30.00	NaN	NaN
0.13	28.80	112.40	NaN	NaN	NaN	NaN	NaN	75.00	NaN	NaN
0.38	47.90	137.12	NaN	NaN	NaN	NaN	NaN	54.00	NaN	NaN
0.63	50.10	121.75	NaN	NaN	NaN	NaN	NaN	40.00	NaN	NaN
0.88	48.50	118.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.13	44.70	117.29	NaN	NaN	NaN	NaN	NaN	21.00	NaN	NaN
1.38	38.70	108.40	NaN	NaN	NaN	NaN	NaN	15.00	NaN	NaN
1.63	35.10	180.16	NaN	NaN	NaN	NaN	NaN	7.00	NaN	NaN
1.88	40.60	146.37	NaN	NaN	NaN	NaN	NaN	3.00	NaN	NaN
2.25	44.10	176.77	NaN	NaN	NaN	NaN	NaN	0.00	NaN	2.65
2.75	56.80	223.90	NaN	NaN	NaN	NaN	NaN	0.00	NaN	20.22
3.25	42.80	207.20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.26
4.50	64.10	239.60	NaN	NaN	NaN	NaN	NaN	NaN	NaN	162.81
5.50	66.60	278.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	181.81
6.50	70.70	290.10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	186.88
7.50	72.10	349.60	NaN	NaN	NaN	NaN	NaN	NaN	NaN	209.68
8.50	73.50	356.20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	246.42
9.50	75.40	410.40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	274.29
15.50	85.30	554.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	647.39

