% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
148 -4.189557e-05 -1.687233e-05 -3.814746e-05 4.527033e-06 3.179762e-05 3.935914e-09  0.07435  1.07511 100.00000
149 -1.790759e-06 -1.077878e-06 -6.350259e-06 9.359411e-09 4.193409e-10 3.785593e-11  2.29175 73.93258 100.00000
150 -8.062406e-07 -9.314546e-08 -6.349840e-06 7.199030e-09 -4.808026e-24 1.309663e-11  7.88526 100.00000 100.00000
151 -4.983914e-07 2.246229e-08 -6.349840e-06 5.062850e-09 -5.428090e-24 4.076365e-11 46.03636 100.00000 100.00000
152 -2.335313e-06 -1.645323e-06 -6.353820e-06 1.081550e-08 3.979633e-09 6.105650e-11  1.63725 35.11094 100.00000
153 -1.610874e-05 -8.153587e-06 -1.011145e-05 6.199445e-07 3.761608e-06 9.212858e-10  0.19699  2.36413 100.00000
154 -7.140992e-06 -4.471863e-06 -6.851615e-06 1.101071e-07 5.017747e-07 3.010432e-10  0.46171  4.59528 100.00000
155 -1.164530e-06 -4.199921e-07 -6.349840e-06 8.209195e-09 -3.936709e-24 1.799937e-11  4.19970 100.00000 100.00000
156 -1.657322e-06 -9.391813e-07 -6.349971e-06 9.094389e-09 1.310217e-10 3.271107e-11  2.53918 84.80671 100.00000
157 -6.892729e-07 -1.788670e-09 -6.349840e-06 6.757095e-09 -2.040599e-24 1.213098e-11 11.09832 100.00000 100.00000
158 -1.541991e-06 -8.206470e-07 -6.349855e-06 8.878111e-09 1.495488e-11 2.857050e-11  2.79973 95.22377 100.00000
159 -9.383410e-07 -2.049654e-07 -6.349840e-06 7.633637e-09 -1.258067e-24 1.441830e-11  5.96549 100.00000 100.00000
160 -1.727903e-06 -1.012378e-06 -6.350102e-06 9.232119e-09 2.617743e-10 3.539139e-11  2.40209 78.92207 100.00000
161 -7.215410e-07 -2.521052e-08 -6.349840e-06 6.892846e-09 -2.040126e-24 1.238576e-11  9.89553 100.00000 100.00000
162 -2.722018e-06 -1.984018e-06 -6.362761e-06 1.336150e-08 1.292116e-08 7.846679e-11  1.36015 11.89626 100.00000
163 -3.222844e-07 2.176809e-08 -6.349840e-06 3.324870e-09 -7.461209e-25 6.925034e+04 100.00000 100.00000 100.00000
164 -9.812754e-07 -2.436064e-07 -6.349840e-06 7.758203e-09 -4.010796e-24 1.494764e-11  5.52628 100.00000 100.00000
165 -3.054999e-06 -2.213595e-06 -6.376817e-06 1.711759e-08 2.697716e-08 9.371030e-11  1.18682 10.03878 100.00000
166 -2.276044e-06 -1.584792e-06 -6.353171e-06 1.060781e-08 3.331363e-09 5.843074e-11  1.68993 39.37971 100.00000
167 -2.192947e-07 1.184320e-08 -6.349840e-06 2.254840e-09 -1.021722e-24 6.925034e+04 100.00000 100.00000 100.00000
168 -6.302460e-07 1.661637e-08 -6.349840e-06 6.318531e-09 -2.024889e-24 1.174155e-11 16.88969 100.00000 100.00000
169 -6.244359e-06 -4.034900e-06 -6.696929e-06 8.233505e-08 3.470893e-07 2.516785e-10  0.53330  5.15817 100.00000
170 -4.180769e-06 -2.919835e-06 -6.450446e-06 3.415862e-08 1.006059e-07 1.466799e-10  0.82885  7.44082 100.00000
171 -7.103335e-07 -1.630293e-08 -6.349840e-06 6.851700e-09 -2.040483e-24 1.229478e-11 10.24096 100.00000 100.00000
172 -1.400975e-06 -6.689688e-07 -6.349840e-06 8.648060e-09 -9.303017e-24 2.401274e-11  3.19983 100.00000 100.00000
173 -5.219811e-06 -3.504149e-06 -6.555868e-06 5.567481e-08 2.060282e-07 1.981009e-10  0.64809  6.05019 100.00000
174 -3.440369e-06 -2.465421e-06 -6.397469e-06 2.222135e-08 4.762861e-08 1.115783e-10  1.03409  8.97471 100.00000
175 -1.642747e-05 -8.271816e-06 -1.028679e-05 6.459577e-07 3.936950e-06 9.474732e-10  0.19305  2.32714 100.00000
176 -3.817183e-07 2.749561e-08 -6.349840e-06 3.942370e-09 -7.461209e-25 6.925034e+04 100.00000 100.00000 100.00000
177 -3.163265e-05 -1.353199e-05 -2.359348e-05 2.531585e-06 1.724364e-05 2.519590e-09  0.09884  1.36271 100.00000
178 -6.058788e-07 1.793896e-08 -6.349840e-06 6.088602e-09 -2.005431e-24 1.159999e-11 20.96687 100.00000 100.00000
179 -8.569917e-06 -5.128537e-06 -7.160071e-06 1.629699e-07 8.102315e-07 3.845452e-10  0.38031  3.94334 100.00000
180 -4.080127e-05 -1.652040e-05 -3.637954e-05 4.286322e-06 3.002970e-05 3.771298e-09  0.07637  1.09964 100.00000
181 -2.948707e-06 -2.142075e-06 -6.371924e-06 1.584301e-08 2.208361e-08 8.882427e-11  1.23717 10.41762 100.00000
182 -2.798377e-06 -2.038439e-06 -6.365636e-06 1.415530e-08 1.579620e-08 8.194561e-11  1.31610 11.22733 100.00000
183 -4.591532e-06 -3.157392e-06 -6.487693e-06 4.199963e-08 1.378527e-07 1.666788e-10  0.74656  6.80997 100.00000
184 -3.139341e-05 -1.345282e-05 -2.330816e-05 2.492051e-06 1.695832e-05 2.489981e-09  0.09961  1.37136 100.00000
185 -1.087411e-06 -3.436733e-07 -6.349840e-06 8.033890e-09 -3.969071e-24 1.654617e-11  4.67289 100.00000 100.00000
