% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
188 -2.903367e-04 -9.295027e-05 -1.799970e-03 2.335787e-04 1.800230e-03 1.251689e-07  0.01062  0.18224  6.04054
189 -1.387280e-04 -4.684766e-05 -4.009843e-04 5.244878e-05 3.946344e-04 3.133279e-08  0.02228  0.36775 100.00000
190 -2.440357e-04 -7.889408e-05 -1.264442e-03 1.645182e-04 1.258092e-03 8.991759e-08  0.01264  0.21538 15.38664
191 -3.754882e-04 -1.187796e-04 -3.031464e-03 3.921427e-04 3.044170e-03 2.051366e-07  0.00821  0.14205  2.88154
192 -1.952435e-04 -6.406525e-05 -8.023117e-04 1.048211e-04 7.959619e-04 5.904429e-08  0.01581  0.26650 74.06626
193 -1.772753e-04 -5.859771e-05 -6.594300e-04 8.621822e-05 6.530802e-04 4.929718e-08  0.01742  0.29204 100.00000
194 -3.026288e-04 -9.668029e-05 -1.958012e-03 2.539435e-04 1.959887e-03 1.355015e-07  0.01019  0.17508  5.26655
195 -2.610174e-04 -8.405077e-05 -1.449887e-03 1.884438e-04 1.446272e-03 1.021733e-07  0.01182  0.20191  9.35832
196 -3.731866e-04 -1.180817e-04 -2.993976e-03 3.873191e-04 3.006304e-03 2.027172e-07  0.00826  0.14290  2.92685
197 -3.391786e-04 -1.077682e-04 -2.467268e-03 3.195295e-04 2.474293e-03 1.686391e-07  0.00909  0.15679  3.76605
198 -3.341359e-04 -1.062386e-04 -2.393506e-03 3.100327e-04 2.399787e-03 1.638523e-07  0.00923  0.15909  3.92561
199 -2.198934e-04 -7.155952e-05 -1.022671e-03 1.333027e-04 1.016321e-03 7.383672e-08  0.01404  0.23796 32.35477
200 -6.929474e-05 -2.550695e-05 -9.933668e-05 1.273895e-05 9.298684e-05 9.114438e-09  0.04475  0.69323 100.00000
